"transaction","status","__dt"
"39129","complete","2021-01-27 00:00:00.000"
"35308","complete","2021-01-23 00:00:00.000"
"52290","complete","2021-02-10 00:00:00.000"
"35793","complete","2021-01-23 00:00:00.000"
"40428","complete","2021-01-28 00:00:00.000"
"58403","complete","2021-02-17 00:00:00.000"
"39890","complete","2021-01-28 00:00:00.000"
"52871","complete","2021-02-11 00:00:00.000"
"34627","complete","2021-01-23 00:00:00.000"
"39564","complete","2021-01-28 00:00:00.000"
"25554","complete","2021-01-11 00:00:00.000"
"58187","complete","2021-02-17 00:00:00.000"
"31674","complete","2021-01-18 00:00:00.000"
"36660","complete","2021-01-24 00:00:00.000"
"25178","complete","2021-01-11 00:00:00.000"
"52838","complete","2021-02-11 00:00:00.000"
"34669","complete","2021-01-23 00:00:00.000"
"40383","complete","2021-01-28 00:00:00.000"
"39506","complete","2021-01-28 00:00:00.000"
"34667","complete","2021-01-23 00:00:00.000"
"52069","complete","2021-02-10 00:00:00.000"
"58641","complete","2021-02-19 00:00:00.000"
"52922","complete","2021-02-11 00:00:00.000"
"52211","complete","2021-02-10 00:00:00.000"
"34803","complete","2021-01-23 00:00:00.000"
"32895","complete","2021-01-20 00:00:00.000"
"36055","complete","2021-01-24 00:00:00.000"
"58650","complete","2021-02-19 00:00:00.000"
"36304","complete","2021-01-24 00:00:00.000"
"39703","complete","2021-01-28 00:00:00.000"
"39781","complete","2021-01-28 00:00:00.000"
"40113","complete","2021-01-28 00:00:00.000"
"27795","complete","2021-01-14 00:00:00.000"
"39267","complete","2021-01-27 00:00:00.000"
"58659","complete","2021-02-20 00:00:00.000"
"38381","complete","2021-01-26 00:00:00.000"
"46586","complete","2021-02-03 00:00:00.000"
"36923","complete","2021-01-24 00:00:00.000"
"52131","complete","2021-02-10 00:00:00.000"
"33026","complete","2021-01-20 00:00:00.000"
"39511","complete","2021-01-28 00:00:00.000"
"25430","complete","2021-01-11 00:00:00.000"
"38457","complete","2021-01-26 00:00:00.000"
"55782","complete","2021-02-14 00:00:00.000"
"40335","complete","2021-01-28 00:00:00.000"
"53558","complete","2021-02-11 00:00:00.000"
"52396","complete","2021-02-10 00:00:00.000"
"36837","complete","2021-01-24 00:00:00.000"
"58402","complete","2021-02-17 00:00:00.000"
"53080","complete","2021-02-11 00:00:00.000"
"36865","complete","2021-01-24 00:00:00.000"
"52137","complete","2021-02-10 00:00:00.000"
"36038","complete","2021-01-24 00:00:00.000"
"39854","complete","2021-01-28 00:00:00.000"
"40381","complete","2021-01-28 00:00:00.000"
"58230","complete","2021-02-17 00:00:00.000"
"53036","complete","2021-02-11 00:00:00.000"
"36778","complete","2021-01-24 00:00:00.000"
"52410","complete","2021-02-10 00:00:00.000"
"39138","complete","2021-01-27 00:00:00.000"
"58093","complete","2021-02-17 00:00:00.000"
"35418","complete","2021-01-23 00:00:00.000"
"55774","complete","2021-02-14 00:00:00.000"
"58548","complete","2021-02-17 00:00:00.000"
"46308","complete","2021-02-03 00:00:00.000"
"58103","complete","2021-02-17 00:00:00.000"
"31944","complete","2021-01-19 00:00:00.000"
"39909","complete","2021-01-28 00:00:00.000"
"53174","complete","2021-02-11 00:00:00.000"
"46431","complete","2021-02-03 00:00:00.000"
"34941","complete","2021-01-23 00:00:00.000"
"25041","complete","2021-01-11 00:00:00.000"
"39140","complete","2021-01-27 00:00:00.000"
"31057","complete","2021-01-18 00:00:00.000"
"27695","complete","2021-01-14 00:00:00.000"
"32733","complete","2021-01-20 00:00:00.000"
"32072","complete","2021-01-19 00:00:00.000"
"31777","complete","2021-01-19 00:00:00.000"
"25165","complete","2021-01-11 00:00:00.000"
"32059","complete","2021-01-19 00:00:00.000"
"46736","complete","2021-02-03 00:00:00.000"
"35722","complete","2021-01-23 00:00:00.000"
"25088","complete","2021-01-11 00:00:00.000"
"58287","complete","2021-02-17 00:00:00.000"
"39658","complete","2021-01-28 00:00:00.000"
"38115","complete","2021-01-26 00:00:00.000"
"40389","complete","2021-01-28 00:00:00.000"
"38600","complete","2021-01-26 00:00:00.000"
"52360","complete","2021-02-10 00:00:00.000"
"52179","complete","2021-02-10 00:00:00.000"
"40189","complete","2021-01-28 00:00:00.000"
"32365","complete","2021-01-20 00:00:00.000"
"52130","complete","2021-02-10 00:00:00.000"
"27694","complete","2021-01-14 00:00:00.000"
"40471","complete","2021-01-28 00:00:00.000"
"32869","complete","2021-01-20 00:00:00.000"
"58640","complete","2021-02-19 00:00:00.000"
"46553","complete","2021-02-03 00:00:00.000"
"34748","complete","2021-01-23 00:00:00.000"
"53472","complete","2021-02-11 00:00:00.000"
"26442","complete","2021-01-11 00:00:00.000"
"35973","complete","2021-01-24 00:00:00.000"
"35974","complete","2021-01-24 00:00:00.000"
"35901","complete","2021-01-24 00:00:00.000"
"58645","complete","2021-02-19 00:00:00.000"
"40525","complete","2021-01-28 00:00:00.000"
"36574","complete","2021-01-24 00:00:00.000"
"35320","complete","2021-01-23 00:00:00.000"
"34693","complete","2021-01-23 00:00:00.000"
"27881","complete","2021-01-14 00:00:00.000"
"35797","complete","2021-01-23 00:00:00.000"
"52146","complete","2021-02-10 00:00:00.000"
"38727","complete","2021-01-26 00:00:00.000"
"53133","complete","2021-02-11 00:00:00.000"
"39912","complete","2021-01-28 00:00:00.000"
"27692","complete","2021-01-14 00:00:00.000"
"46313","complete","2021-02-03 00:00:00.000"
"36110","complete","2021-01-24 00:00:00.000"
"40140","complete","2021-01-28 00:00:00.000"
"46397","complete","2021-02-03 00:00:00.000"
"31040","complete","2021-01-18 00:00:00.000"
"58653","complete","2021-02-19 00:00:00.000"
"34581","complete","2021-01-23 00:00:00.000"
"46681","complete","2021-02-03 00:00:00.000"
"52470","complete","2021-02-10 00:00:00.000"
"36279","complete","2021-01-24 00:00:00.000"
"52576","complete","2021-02-10 00:00:00.000"
"26399","complete","2021-01-11 00:00:00.000"
"53486","complete","2021-02-11 00:00:00.000"
"53535","complete","2021-02-11 00:00:00.000"
"38415","complete","2021-01-26 00:00:00.000"
"58646","complete","2021-02-19 00:00:00.000"
"26406","complete","2021-01-11 00:00:00.000"
"31135","complete","2021-01-18 00:00:00.000"
"39226","complete","2021-01-27 00:00:00.000"
"39227","complete","2021-01-27 00:00:00.000"
"36001","complete","2021-01-24 00:00:00.000"
"52212","complete","2021-02-10 00:00:00.000"
"32091","complete","2021-01-19 00:00:00.000"
"52623","complete","2021-02-10 00:00:00.000"
"53166","complete","2021-02-11 00:00:00.000"
"35662","complete","2021-01-23 00:00:00.000"
"38902","complete","2021-01-27 00:00:00.000"
"58604","complete","2021-02-17 00:00:00.000"
"25398","complete","2021-01-11 00:00:00.000"
"39046","complete","2021-01-27 00:00:00.000"
"53009","complete","2021-02-11 00:00:00.000"
"26051","complete","2021-01-11 00:00:00.000"
"38151","complete","2021-01-26 00:00:00.000"
"36986","complete","2021-01-24 00:00:00.000"
"46454","complete","2021-02-03 00:00:00.000"
"35798","complete","2021-01-23 00:00:00.000"
"35725","complete","2021-01-23 00:00:00.000"
"55757","complete","2021-02-14 00:00:00.000"
"58344","complete","2021-02-17 00:00:00.000"
"53547","complete","2021-02-11 00:00:00.000"
"53502","complete","2021-02-11 00:00:00.000"
"39141","complete","2021-01-27 00:00:00.000"
"58404","complete","2021-02-17 00:00:00.000"
"46600","complete","2021-02-03 00:00:00.000"
"40056","complete","2021-01-28 00:00:00.000"
"52124","complete","2021-02-10 00:00:00.000"
"52913","complete","2021-02-11 00:00:00.000"
"58656","complete","2021-02-19 00:00:00.000"
"58660","complete","2021-02-20 00:00:00.000"
"46579","complete","2021-02-03 00:00:00.000"
"36444","complete","2021-01-24 00:00:00.000"
"25655","complete","2021-01-11 00:00:00.000"
"39102","complete","2021-01-27 00:00:00.000"
"40380","complete","2021-01-28 00:00:00.000"
"46584","complete","2021-02-03 00:00:00.000"
"36827","complete","2021-01-24 00:00:00.000"
"58651","complete","2021-02-19 00:00:00.000"
"40464","complete","2021-01-28 00:00:00.000"
"36412","complete","2021-01-24 00:00:00.000"
"53530","complete","2021-02-11 00:00:00.000"
"40473","complete","2021-01-28 00:00:00.000"
"39922","complete","2021-01-28 00:00:00.000"
"27696","complete","2021-01-14 00:00:00.000"
"58655","complete","2021-02-19 00:00:00.000"
"40090","complete","2021-01-28 00:00:00.000"
"52848","complete","2021-02-11 00:00:00.000"
"40070","complete","2021-01-28 00:00:00.000"
"34989","complete","2021-01-23 00:00:00.000"
"46365","complete","2021-02-03 00:00:00.000"
"25442","complete","2021-01-11 00:00:00.000"
"35885","complete","2021-01-24 00:00:00.000"
"35886","complete","2021-01-24 00:00:00.000"
"52885","complete","2021-02-11 00:00:00.000"
"39494","complete","2021-01-28 00:00:00.000"
"46128","complete","2021-02-03 00:00:00.000"
"27698","complete","2021-01-14 00:00:00.000"
"58642","complete","2021-02-19 00:00:00.000"
"38723","complete","2021-01-26 00:00:00.000"
"35168","complete","2021-01-23 00:00:00.000"
"53469","complete","2021-02-11 00:00:00.000"
"35401","complete","2021-01-23 00:00:00.000"
"53304","complete","2021-02-11 00:00:00.000"
"52461","complete","2021-02-10 00:00:00.000"
"33025","complete","2021-01-20 00:00:00.000"
"58657","complete","2021-02-19 00:00:00.000"
"38626","complete","2021-01-26 00:00:00.000"
"58549","complete","2021-02-17 00:00:00.000"
"58329","complete","2021-02-17 00:00:00.000"
"52180","complete","2021-02-10 00:00:00.000"
"52809","complete","2021-02-10 00:00:00.000"
"39074","complete","2021-01-27 00:00:00.000"
"40175","complete","2021-01-28 00:00:00.000"
"36370","complete","2021-01-24 00:00:00.000"
"36158","complete","2021-01-24 00:00:00.000"
"25167","complete","2021-01-11 00:00:00.000"
"58647","complete","2021-02-19 00:00:00.000"
"39415","complete","2021-01-27 00:00:00.000"
"39168","complete","2021-01-27 00:00:00.000"
"31033","complete","2021-01-18 00:00:00.000"
"58663","complete","2021-02-20 00:00:00.000"
"52520","complete","2021-02-10 00:00:00.000"
"52144","complete","2021-02-10 00:00:00.000"
"39943","complete","2021-01-28 00:00:00.000"
"58061","complete","2021-02-17 00:00:00.000"
"34730","complete","2021-01-23 00:00:00.000"
"36349","complete","2021-01-24 00:00:00.000"
"32662","complete","2021-01-20 00:00:00.000"
"58638","complete","2021-02-19 00:00:00.000"
"33024","complete","2021-01-20 00:00:00.000"
"39075","complete","2021-01-27 00:00:00.000"
"46594","complete","2021-02-03 00:00:00.000"
"46595","complete","2021-02-03 00:00:00.000"
"52136","complete","2021-02-10 00:00:00.000"
"38191","complete","2021-01-26 00:00:00.000"
"52208","complete","2021-02-10 00:00:00.000"
"36377","complete","2021-01-24 00:00:00.000"
"35794","complete","2021-01-23 00:00:00.000"
"38413","complete","2021-01-26 00:00:00.000"
"58406","complete","2021-02-17 00:00:00.000"
"31845","complete","2021-01-19 00:00:00.000"
"36780","complete","2021-01-24 00:00:00.000"
"52563","complete","2021-02-10 00:00:00.000"
"39744","complete","2021-01-28 00:00:00.000"
"31297","complete","2021-01-18 00:00:00.000"
"52884","complete","2021-02-11 00:00:00.000"
"39945","complete","2021-01-28 00:00:00.000"
"46603","complete","2021-02-03 00:00:00.000"
"52145","complete","2021-02-10 00:00:00.000"
"58639","complete","2021-02-19 00:00:00.000"
"36916","complete","2021-01-24 00:00:00.000"
"39831","complete","2021-01-28 00:00:00.000"
"25576","complete","2021-01-11 00:00:00.000"
"52332","complete","2021-02-10 00:00:00.000"
"36880","complete","2021-01-24 00:00:00.000"
"52128","complete","2021-02-10 00:00:00.000"
"36063","complete","2021-01-24 00:00:00.000"
"39709","complete","2021-01-28 00:00:00.000"
"52462","complete","2021-02-10 00:00:00.000"
"58405","complete","2021-02-17 00:00:00.000"
"26168","complete","2021-01-11 00:00:00.000"
"39228","complete","2021-01-27 00:00:00.000"
"31847","complete","2021-01-19 00:00:00.000"
"52905","complete","2021-02-11 00:00:00.000"
"58661","complete","2021-02-20 00:00:00.000"
"46275","complete","2021-02-03 00:00:00.000"
"52126","complete","2021-02-10 00:00:00.000"
"46400","complete","2021-02-03 00:00:00.000"
"39181","complete","2021-01-27 00:00:00.000"
"39907","complete","2021-01-28 00:00:00.000"
"52210","complete","2021-02-10 00:00:00.000"
"46430","complete","2021-02-03 00:00:00.000"
"40126","complete","2021-01-28 00:00:00.000"
"52362","complete","2021-02-10 00:00:00.000"
"40291","complete","2021-01-28 00:00:00.000"
"36348","complete","2021-01-24 00:00:00.000"
"38458","complete","2021-01-26 00:00:00.000"
"26429","complete","2021-01-11 00:00:00.000"
"58377","complete","2021-02-17 00:00:00.000"
"58089","complete","2021-02-17 00:00:00.000"
"55742","complete","2021-02-14 00:00:00.000"
"58298","complete","2021-02-17 00:00:00.000"
"40059","complete","2021-01-28 00:00:00.000"
"46689","complete","2021-02-03 00:00:00.000"
"39269","complete","2021-01-27 00:00:00.000"
"53402","complete","2021-02-11 00:00:00.000"
