"id","terminal_id","tokens","cash","created_at","signature","__dt"
"52936","2","6.0","6.00","1613011655","40b2a219a467515528747522eddbfaec5ecea0fcad982eaf25bdb623c7eecab3","2021-02-11 00:00:00.000"
"60238","15","5.0","5.00","1613897743","9848df996dd314a3dd6d4245309008d0804546b6245d3dd1460b251e13d3c5b8","2021-02-21 00:00:00.000"
"59869","18","10.0","10.00","1613883376","c143de6284537aabc0b7e205077cf437e6fe489b9501715401ecd9617afa88b5","2021-02-21 00:00:00.000"
"53502","12","13.0","13.00","1613038877","be1480ecd97fabb04a7ee79d9f08ac7929a6561a9e2359e3d1b04de40d0ca06b","2021-02-11 00:00:00.000"
"59472","3","5.0","5.00","1613869128","76b593167f40c98e65b27869b591ca96864510775fa9c8586858a2a0687c94e2","2021-02-21 00:00:00.000"
"59526","9","14.0","14.00","1613871274","321fb105eef28f71a3db994dc80ac274c0c1d241cb375e4aa9301577cc478c55","2021-02-21 00:00:00.000"
"66232","9","20.0","20.00","1615156993","d9a8741273d4ed3994c7f74a26d062f0d1e9d60dc9cafd941db03f0e425d66d0","2021-03-07 00:00:00.000"
"60395","17","10.0","10.00","1613903667","32b4a7d46f7870aeaa12a7450d6703b2f4d6ae9417ae109265fc921c1d5d5699","2021-02-21 00:00:00.000"
"53174","18","6.0","6.00","1613021874","c9372f27f9f7e2c92691837cc249ad3db3c2f531869df9fcb9326946e451d022","2021-02-11 00:00:00.000"
"59702","10","25.0","25.00","1613878584","821560b2746a7aaa53198199168ec840b37844899c096405d07007270208cae6","2021-02-21 00:00:00.000"
"59916","13","10.0","10.00","1613884815","b76b875a549031c78736c4df4c504120124e1da105b4706c7dfb2070c37efa1f","2021-02-21 00:00:00.000"
"49725","16","1.0","1.00","1612672985","8a057add4373ca0a695ed109124539fc39c6f3f32aef5909296942828c1af274","2021-02-07 00:00:00.000"
"59926","4","6.0","6.00","1613885292","70fa01fe185d9e8527e3480d74e07ccaff2cf57709cb7e028644e42745b1aea1","2021-02-21 00:00:00.000"
"59962","6","10.0","10.00","1613886706","0ac5463095cae85ad0d6be16eb27f7e4cc28cecf0ff2b9a83207d232e7e410a2","2021-02-21 00:00:00.000"
"53058","17","63.0","60.00","1613017253","0ca5dc7160a8d04a25296e192db4345100891a8c3eac0877d2b488041056c18b","2021-02-11 00:00:00.000"
"59870","14","20.0","20.00","1613883395","5441e152ca3aa8785965b337dfe37954db1f53978c48f49d3f71b85e3d3c8c64","2021-02-21 00:00:00.000"
"49596","16","1.0","1.00","1612668509","ddbff179fd0b60d87931ed6722bafb0c9d30aacece277a9056b4f0e4523704a2","2021-02-07 00:00:00.000"
"52922","15","5.0","5.00","1613010486","8a0a7c94ca5e41e1ea2d24f546ae9da7da50b44f496bac1f92592614ef150bee","2021-02-11 00:00:00.000"
"66229","11","2.0","2.00","1615155287","51ae5e54787d84f4c230957972f671fe38e248332bb70e5149380e0e974e2914","2021-03-07 00:00:00.000"
"59793","9","22.0","21.00","1613881088","f9096af45b5f78d1eb77493c401c6e53904be4abf36077ad3ff7afbe92554229","2021-02-21 00:00:00.000"
"59595","13","6.0","6.00","1613874191","761f97082a7c397f37ffb46f9de5b318a42197bfb77be137a4d1fc358ba8fd59","2021-02-21 00:00:00.000"
"59799","2","8.0","8.00","1613881439","fb5dff0621a03955e9e99b435fe039a4979af0eba0ddba549278ffca41c65c69","2021-02-21 00:00:00.000"
"59903","5","10.0","10.00","1613884530","62a6e59869c8f7c75edc9010648a08b5b6c0c7db27b347854ebc3ac067cae1a3","2021-02-21 00:00:00.000"
"49455","9","40.0","40.00","1612664278","4ac0ccbec857627c400c2f8f1a07edc0046804aa05c1923048df4f36074fa8c3","2021-02-07 00:00:00.000"
"49704","11","15.0","15.00","1612671839","7dad72883d882ec75250b9677a39b01384612956714cc12e371498614e7a8147","2021-02-07 00:00:00.000"
"59461","14","38.0","37.00","1613867405","972256b017f099a622b6f3e01fb803d6f7f5f26d290b8736b2c54fef994df859","2021-02-21 00:00:00.000"
"59795","14","6.0","6.00","1613881147","a591323bb05f43d79f8bfffb1fb98996bd7c15916dd9d48cf4a3df1a545f291b","2021-02-21 00:00:00.000"
"59685","19","10.0","10.00","1613878027","8d05c5579e4d7c3b975ad2ca0647ea493744aa5fd5e565dd21e956bb5d70d60d","2021-02-21 00:00:00.000"
"59589","9","6.0","6.00","1613873834","1dfed4e0f6a27b5815cacc059b977c03a5005a2a07136e5e1ea3d757bcedcee6","2021-02-21 00:00:00.000"
"49511","11","1.0","1.00","1612666260","58eb471c2ae603b373425be7974c6b3c8e5c329e5c126fe57623f3a8b1d5dca6","2021-02-07 00:00:00.000"
"49512","11","30.0","30.00","1612666285","3e469db7781e105542895d2ac32898572b0ee64eeb4ced073e11b9473325bbfe","2021-02-07 00:00:00.000"
"49320","11","10.0","10.00","1612658277","6cc0871e5048a21405657c0a97cfe214587ae7f8a085f2054a00004d01aa90c2","2021-02-07 00:00:00.000"
"66178","12","6.0","6.00","1615127347","1ce945da9af77f390cc53c25e34add8813dfbe37c4ef723d897e23c409e52282","2021-03-07 00:00:00.000"
"49472","9","40.0","40.00","1612664942","8208b6e6b0009640bfb3972f438884905ecbf4a423e20a88ce4f9949ddc882a8","2021-02-07 00:00:00.000"
"66169","10","6.0","6.00","1615126737","f6b1509b449aa96cb05a560a1af9f70ac46ca606e7366c8d1d088ed6c2252e67","2021-03-07 00:00:00.000"
"59679","19","20.0","20.00","1613877770","3c0f6b57b16f2c01c0f3bb02e3edbd9d392f386b85969dea9b4d5b83a0411446","2021-02-21 00:00:00.000"
"53486","6","40.0","40.00","1613036928","8f48e32099e347b23af1a1f60db4fa1ede98667b55ab3dc3d2d68eab777929f0","2021-02-11 00:00:00.000"
"59856","11","22.0","21.00","1613882823","ce3b34bfdb1c909ddf17cf623483cf36fd39fb6936c23e8cd342150397393b9d","2021-02-21 00:00:00.000"
"53166","18","7.0","7.00","1613021590","728071e6f89ddf86b132cb520b4d365a3fd4820aab2c394d955d35892a653c24","2021-02-11 00:00:00.000"
"52939","10","5.0","5.00","1613011696","f50ceb9d054499020015f4c6ee3f3732afe74ffc5f2467b81a372ed2b1c2a357","2021-02-11 00:00:00.000"
"53741","3","20.0","20.00","1613052443","291cb23d6215d4e2b93a088f1316c1888e905677b5e698ad8b365dab52fb3f3b","2021-02-11 00:00:00.000"
"52913","10","5.0","5.00","1613010215","77127294c2ead11869c95a7987cd6c5ffe7712175898bff1b4777f93f942bd1a","2021-02-11 00:00:00.000"
"52871","18","12.0","12.00","1613006982","2734ffb5523998dd79490c7a4ea1093c746bd896798604cb315803b7d1b3b295","2021-02-11 00:00:00.000"
"66170","10","1.0","1.00","1615126810","4e9c4aa523660139946898ca18c2c6c72dfe76024c364678a667aeceadfc4474","2021-03-07 00:00:00.000"
